4k_swl4_CUDA_CP, start_time:1462769699, end_time:1462770118, run_time:419, exit_point:2, kernel_count:1
2k_twolevel1201_CUDA_CP, start_time:1462769706, end_time:1462770119, run_time:413, exit_point:2, kernel_count:1
2k_gto_CUDA_CP, start_time:1462769703, end_time:1462770120, run_time:417, exit_point:2, kernel_count:1
4k_twolevel1201_CUDA_CP, start_time:1462769711, end_time:1462770121, run_time:410, exit_point:2, kernel_count:1
2k_swl16_CUDA_CP, start_time:1462769696, end_time:1462770122, run_time:426, exit_point:2, kernel_count:1
4k_swl16_CUDA_CP, start_time:1462769701, end_time:1462770125, run_time:424, exit_point:2, kernel_count:1
4k_twolevel301_CUDA_LPS, start_time:1462769750, end_time:1462770126, run_time:376, exit_point:2, kernel_count:1
4k_swl2_CUDA_RAY, start_time:1462769779, end_time:1462770128, run_time:349, exit_point:2, kernel_count:1
4k_gto_CUDA_CP, start_time:1462769708, end_time:1462770132, run_time:424, exit_point:2, kernel_count:1
2k_swl2_CUDA_RAY, start_time:1462769774, end_time:1462770134, run_time:360, exit_point:2, kernel_count:1
4k_swl8_Mars_Kmeans, start_time:1462770134, end_time:1462770144, run_time:10, exit_point:2, kernel_count:1
4k_swl8_Mars_Kmeans, start_time:1462770134, end_time:1462770159, run_time:25, exit_point:2, kernel_count:2
4k_swl8_Mars_Kmeans, start_time:1462770134, end_time:1462770160, run_time:26, exit_point:2, kernel_count:3
2k_swl4_CUDA_LPS, start_time:1462769735, end_time:1462770161, run_time:426, exit_point:2, kernel_count:1
4k_swl8_Mars_Kmeans, start_time:1462770134, end_time:1462770163, run_time:29, exit_point:2, kernel_count:4
4k_swl8_Mars_Kmeans, start_time:1462770134, end_time:1462770178, run_time:44, exit_point:2, kernel_count:5
4k_swl8_Mars_Kmeans, start_time:1462770134, end_time:1462770178, run_time:44, exit_point:2, kernel_count:6
4k_swl8_Mars_Kmeans, start_time:1462770134, end_time:1462770182, run_time:48, exit_point:2, kernel_count:7
4k_swl4_CUDA_LPS, start_time:1462769740, end_time:1462770187, run_time:447, exit_point:2, kernel_count:1
4k_swl16_CUDA_BFS, start_time:1462769972, end_time:1462770188, run_time:216, exit_point:2, kernel_count:5
4k_twolevel301_CUDA_BFS2, start_time:1462770069, end_time:1462770191, run_time:122, exit_point:2, kernel_count:7
4k_twolevel301_CUDA_BFS2, start_time:1462770069, end_time:1462770196, run_time:127, exit_point:2, kernel_count:8
8_Mars_Kmeans, start_time:1462770134, end_time:1462770197, run_time:63, exit_point:2, kernel_count:9
4k_swl8_Mars_Kmeans, start_time:1462770134, end_time:1462770200, run_time:66, exit_point:2, kernel_count:10
4k_swl2_CUDA_CP, start_time:1462769698, end_time:1462770202, run_time:504, exit_point:2, kernel_count:1
2k_swl2_CUDA_CP, start_time:1462769693, end_time:1462770205, run_time:512, exit_point:2, kernel_count:1
2k_twolevel1201_CUDA_BFS2, start_time:1462770058, end_time:1462770209, run_time:151, exit_point:2, kernel_count:7
4k_twolevel601_CUDA_BFS2, start_time:1462770068, end_time:1462770210, run_time:142, exit_point:2, kernel_count:7
2k_twolevel1201_CUDA_BFS2, start_time:1462770058, end_time:1462770215, run_time:157, exit_point:2, kernel_count:8
4k_twolevel601_CUDA_BFS2, start_time:1462770068, end_time:1462770216, run_time:148, exit_point:2, kernel_count:8
2k_lrr_CUDA_NN, start_time:1462769990, end_time:1462770220, run_time:230, exit_point:2, kernel_count:2
2k_swl2_CUDA_LPS, start_time:1462769734, end_time:1462770228, run_time:494, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_BFS2, start_time:1462770092, end_time:1462770230, run_time:138, exit_point:2, kernel_count:7
2k_twolevel601_CUDA_BFS2, start_time:1462770092, end_time:1462770235, run_time:143, exit_point:2, kernel_count:8
2k_lrr_CUDA_BFS2, start_time:1462770053, end_time:1462770235, run_time:182, exit_point:2, kernel_count:7
4k_swl1_CUDA_RAY, start_time:1462769778, end_time:1462770240, run_time:462, exit_point:2, kernel_count:1
2k_lrr_CUDA_BFS2, start_time:1462770053, end_time:1462770241, run_time:188, exit_point:2, kernel_count:8
4k_twolevel1201_CUDA_BFS2, start_time:1462770068, end_time:1462770246, run_time:178, exit_point:2, kernel_count:7
4k_lrr_CUDA_BFS2, start_time:1462770073, end_time:1462770249, run_time:176, exit_point:2, kernel_count:7
4k_twolevel1201_CUDA_BFS2, start_time:1462770068, end_time:1462770252, run_time:184, exit_point:2, kernel_count:8
4k_lrr_CUDA_BFS2, start_time:1462770073, end_time:1462770254, run_time:181, exit_point:2, kernel_count:8
4k_swl2_CUDA_LPS, start_time:1462769739, end_time:1462770262, run_time:523, exit_point:2, kernel_count:1
4k_twolevel301_Mars_SimilarityScore, start_time:1462770123, end_time:1462770272, run_time:149, exit_point:2, kernel_count:1
4k_gto_CUDA_BFS2, start_time:1462770070, end_time:1462770281, run_time:211, exit_point:2, kernel_count:7
rnel_count:1
2k_lrr_CUDA_BFS, start_time:1462769949, end_time:1462770284, run_time:335, exit_point:2, kernel_count:5
rnel_count:1
4k_lrr_Mars_SimilarityScore, start_time:1462770121, end_time:1462770287, run_time:166, exit_point:2, kernel_count:1
4k_gto_CUDA_BFS2, start_time:1462770070, end_time:1462770287, run_time:217, exit_point:2, kernel_count:8
4k_twolevel601_Mars_SimilarityScore, start_time:1462770133, end_time:1462770289, run_time:156, exit_point:2, kernel_count:1
2k_twolevel1201_Mars_SimilarityScore, start_time:1462770121, end_time:1462770290, run_time:169, exit_point:2, kernel_count:1
2k_swl8_Mars_SimilarityScore, start_time:1462770125, end_time:1462770295, run_time:170, exit_point:2, kernel_count:1
4k_swl8_CUDA_BFS, start_time:1462769976, end_time:1462770295, run_time:319, exit_point:2, kernel_count:5
4k_swl4_Mars_SimilarityScore, start_time:1462770115, end_time:1462770297, run_time:182, exit_point:2, kernel_count:1
4k_twolevel1201_Mars_SimilarityScore, start_time:1462770128, end_time:1462770298, run_time:170, exit_point:2, kernel_count:1
4k_swl1_CUDA_CP, start_time:1462769697, end_time:1462770317, run_time:620, exit_point:2, kernel_count:1
2k_swl8_shoc_Reduction, start_time:1462770317, end_time:1462770330, run_time:13, exit_point:2, kernel_count:1
4k_swl8_CUDA_STO, start_time:1462769802, end_time:1462770333, run_time:531, exit_point:2, kernel_count:1
2k_swl8_shoc_Reduction, start_time:1462770317, end_time:1462770342, run_time:25, exit_point:2, kernel_count:2
2k_swl8_CUDA_STO, start_time:1462769796, end_time:1462770344, run_time:548, exit_point:2, kernel_count:1
4k_swl16_shoc_Reduction, start_time:1462770334, end_time:1462770346, run_time:12, exit_point:2, kernel_count:1
4k_swl16_CUDA_STO, start_time:1462769803, end_time:1462770346, run_time:543, exit_point:2, kernel_count:1
2k_swl16_CUDA_STO, start_time:1462769797, end_time:1462770347, run_time:550, exit_point:2, kernel_count:1
2k_lrr_CUDA_STO, start_time:1462769804, end_time:1462770348, run_time:544, exit_point:2, kernel_count:1
4k_lrr_CUDA_STO, start_time:1462769809, end_time:1462770351, run_time:542, exit_point:2, kernel_count:1
2k_swl1_CUDA_LPS, start_time:1462769733, end_time:1462770353, run_time:620, exit_point:2, kernel_count:1
2k_swl8_shoc_Reduction, start_time:1462770317, end_time:1462770354, run_time:37, exit_point:2, kernel_count:3
4k_swl16_shoc_Reduction, start_time:1462770334, end_time:1462770358, run_time:24, exit_point:2, kernel_count:2
4k_swl16_shoc_Scan, start_time:1462770344, end_time:1462770358, run_time:14, exit_point:2, kernel_count:1
4k_swl16_shoc_Scan, start_time:1462770344, end_time:1462770359, run_time:15, exit_point:2, kernel_count:2
2k_twolevel601_CUDA_STO, start_time:1462769807, end_time:1462770360, run_time:553, exit_point:2, kernel_count:1
4k_swl8_shoc_Scan, start_time:1462770348, end_time:1462770363, run_time:15, exit_point:2, kernel_count:1
4k_swl8_shoc_Scan, start_time:1462770348, end_time:1462770363, run_time:15, exit_point:2, kernel_count:2
2k_gto_CUDA_STO, start_time:1462769805, end_time:1462770364, run_time:559, exit_point:2, kernel_count:1
4k_twolevel301_shoc_Scan, start_time:1462770353, end_time:1462770365, run_time:12, exit_point:2, kernel_count:1
4k_twolevel601_CUDA_STO, start_time:1462769812, end_time:1462770365, run_time:553, exit_point:2, kernel_count:1
4k_twolevel301_shoc_Scan, start_time:1462770353, end_time:1462770365, run_time:12, exit_point:2, kernel_count:2
2k_swl8_shoc_Reduction, start_time:1462770317, end_time:1462770366, run_time:49, exit_point:2, kernel_count:4
4k_swl4_CUDA_STO, start_time:1462769801, end_time:1462770369, run_time:568, exit_point:2, kernel_count:1
4k_swl16_shoc_Reduction, start_time:1462770334, end_time:1462770370, run_time:36, exit_point:2, kernel_count:3
4k_swl4_shoc_Scan, start_time:1462770354, end_time:1462770371, run_time:17, exit_point:2, kernel_count:1
4k_swl4_shoc_Scan, start_time:1462770354, end_time:1462770371, run_time:17, exit_point:2, kernel_count:2
4k_twolevel1201_CUDA_STO, start_time:1462769813, end_time:1462770374, run_time:561, exit_point:2, kernel_count:1
4k_twolevel1201_shoc_Scan, start_time:1462770362, end_time:1462770376, run_time:14, exit_point:2, kernel_count:1
4k_twolevel1201_shoc_Scan, start_time:1462770362, end_time:1462770376, run_time:14, exit_point:2, kernel_count:2
4k_gto_CUDA_STO, start_time:1462769810, end_time:1462770377, run_time:567, exit_point:2, kernel_count:1
2k_swl8_shoc_Reduction, start_time:1462770317, end_time:1462770378, run_time:61, exit_point:2, kernel_count:5
4k_twolevel601_shoc_Scan, start_time:1462770365, end_time:1462770379, run_time:14, exit_point:2, kernel_count:1
4k_twolevel601_shoc_Scan, start_time:1462770365, end_time:1462770379, run_time:14, exit_point:2, kernel_count:2
2k_twolevel1201_CUDA_STO, start_time:1462769808, end_time:1462770379, run_time:571, exit_point:2, kernel_count:1
4k_swl16_shoc_Reduction, start_time:1462770334, end_time:1462770383, run_time:49, exit_point:2, kernel_count:4
4k_swl2_Mars_SimilarityScore, start_time:1462770111, end_time:1462770385, run_time:274, exit_point:2, kernel_count:1
